item_key,merchant,web_categories,l1,l2,l3,gender,primary_fop,sub_sport,gmv,apparel_rn,gender_rn,fop_rn
kids_foot_locker_shoes_casual sneakers_casual basketball sneakers_jordan_jordan retro 12 - boys' preschool,kids_foot_locker,shoes > casual sneakers > casual basketball sneakers,Apparel,Bottoms,Pants,Kids,sportswear,null,4880822,1,23,2
kids_foot_locker_clothing_shorts_shorts_nike_nike nsw club shorts - boys' grade school,kids_foot_locker,clothing > shorts > shorts,Apparel,Bottoms,Shorts,Men's,basketball,null,2037476,1,82,10
kids_foot_locker_shoes_casual sneakers_casual basketball sneakers_jordan_jordan aj 1 fund mid - girls' preschool,kids_foot_locker,shoes > casual sneakers > casual basketball sneakers,Apparel,Bottoms,Skirts,Kids,sportswear,null,399181,1,322,46
kids_foot_locker_shoes_casual sneakers_casual sneakers_nike_nike air max 95  - boys' grade school,kids_foot_locker,shoes > casual sneakers > casual sneakers,Apparel,Bras,null,Men's,sportswear,null,2477451,1,66,7
kids_foot_locker_shoes_sneakers_jordan_jordan aj 3 retro - girls' grade school,kids_foot_locker,shoes > sneakers,Apparel,Dresses,null,Kids,running,null,217111,1,545,27
kids_foot_locker_clothing_jackets_jackets_nike_nike windrunner jacket - boys' grade school,kids_foot_locker,clothing > jackets > jackets,Apparel,Jackets & Outerwear,null,Men's,basketball,null,3466375,1,47,6
kids_foot_locker_shoes_performance basketball shoes_performance basketball shoes_jordan_jordan mvp - boys' grade school,kids_foot_locker,shoes > performance basketball shoes > performance basketball shoes,Apparel,Tops,null,Kids,basketball,null,8544280,1,15,1
kids_foot_locker_shoes_casual sneakers_casual basketball sneakers_puma_puma mb.02 - boys' grade school,kids_foot_locker,shoes > casual sneakers > casual basketball sneakers,Apparel,Track Suits,null,Kids,basketball,null,766463,1,164,36
kids_foot_locker_accessories_socks_socks_nike_nike 6 pack cushioned quarter socks - boys' grade school,kids_foot_locker,accessories > socks > socks,Apparel,Underwear,null,Kids,soccer,null,3226059,1,43,2
kids_foot_locker_shoes_casual sneakers_casual sneakers_jordan_jordan aj 1 mid - boys' grade school,kids_foot_locker,shoes > casual sneakers > casual sneakers,Footwear,null,null,Men's,basketball,performance_basketball,58045572,1,1,1
kohls_bottoms_sonoma goods for life_women's sonoma goods for life® midrise leggings,kohls,bottoms,Apparel,Bottoms,Baselayer Bottoms,Women's,training,null,16504601,1,192,117
