item_key,merchant,web_categories,l1,l2,l3,gender,primary_fop,sub_sport,gmv,apparel_rn,gender_rn,fop_rn
"target_clothing, shoes & accessories_women's clothing_tops_t-shirts_a new day_women's slim fit tank top - a new day",target,"clothing, shoes & accessories > women's clothing > tops > t-shirts",Apparel,Tops,null,Women's,tennis,null,1.01982927E8,4,5,2
champs_sports_clothing_t-shirts_t-shirts_nike_nike air reflective t-shirt - men's,champs_sports,clothing > t-shirts > t-shirts,Apparel,Tops,null,Men's,basketball,null,1.9924919E7,1,9,1
champs_sports_clothing_pants_pants_csg_csg essential cargo pants - men's,champs_sports,clothing > pants > pants,Apparel,Bottoms,Pants,Men's,cheer_dance,null,3102777.0,3,43,1
academy_sports_shops_workwear clothing boots_work boots_construction boots_justin boots_justin boots men's commander resistor boots with composite toe,academy_sports,shops > workwear clothing boots > work boots > construction boots,Footwear,null,null,Men's,walking,null,4599564.0,34,92,1
"costco_clothing, luggage & handbags_clothing for men_footwear & boots for men_skechers_skechers shoe",costco,"clothing, luggage & handbags > clothing for men > footwear & boots for men",Footwear,null,null,Men's,soccer,outdoor_soccer,5.4560443E7,1,3,1
dicks_sporting_goods_shoes_women's shoes_women's slides & sandals_sandals_women's_crocs_crocs classic tie dye clogs,dicks_sporting_goods,shoes > women's shoes > women's slides & sandals > sandals > women's,Footwear,null,null,Women's,slides,null,8834106.0,37,58,1
nike_men_apparel_lifestyle_nike_nike sportswear club fleece pullover hoodie,nike,men > apparel > lifestyle,Apparel,Tops,null,Men's,training,null,1.5706865E8,2,4,1
kohls_shoes_easy street_easy works by easy street letsee women's mary jane work shoes,kohls,shoes,Apparel,Other Apparel,null,Women's,null,cross_training,239394.0,560,4440,1
scheels_cfr mi895sbl,scheels,,Apparel,Bottoms,Other Bottoms,Men's,basketball,null,2059515.0,2,57,25
academy_sports_womens_womens footwear_womens athletic sneakers_womens running shoes_under armour_under armour women's charged pursuit 2 bl spkl running shoes,academy_sports,womens > womens footwear > womens athletic sneakers > womens running shoes,Footwear,null,null,Women's,pickleball,cross_training,1930522.0,85,87,1
macys_shoes_sneakers & athletic shoes_women_ugg_ez-duzzit essential lace up,macys,shoes > sneakers & athletic shoes > women,Apparel,Other Apparel,null,Women's,boxing,null,161554.0,826,4034,2
nordstrom_shoes_boots_women_ugg_wms btr sh:ugg classic mini ii bo,nordstrom,shoes > boots > women,Footwear,null,null,Women's,outdoor_sandals,null,4892194.0,16,24,1
"target_clothing, shoes & accessories_young adult clothing_goodfellow & co_men's brady sneakers - goodfellow & co",target,"clothing, shoes & accessories > young adult clothing",Footwear,null,null,Men's,baseball,cross_training,1.0965189E7,7,68,1
kohls_boys_shoes_oxfords_,kohls,boys > shoes > oxfords,Footwear,null,null,Men's,american_football,cross_training,679418.0,247,1106,1
